"title","year","rating","num_ratings","count"
"Cat People","1982-01-01",3,2400,2
"The Mask of Zorro","1998-01-01",3.3,31107,2
"Getting Even with Dad","1994-01-01",2.4,2200,2
"Dead Ringers","1988-01-01",3.6,4690,2
"Communion","1976-01-01",0,0,2
"Punch-Drunk Love","2002-01-01",3.2,24379,2
"Ocean's Eleven","2001-01-01",3.6,185259,2
"The Hunting Party","2007-01-01",3.4,13820,3
"The In-Laws","2003-01-01",2.9,2546,2
"48 Hrs.","1982-01-01",3.2,10471,2
"A Perfect Murder","1998-01-01",3.1,9130,2
"Et Dieu... créa la femme","1956-01-01",3,1435,2
"Thir13en Ghosts","2001-01-01",3,20700,3
"Invasion of the Body Snatchers","1956-01-01",3.6,3820,4
"Joan of Arc","1999-01-01",3.1,8110,2
"Grosse Pointe Blank","1997-01-01",3.7,17815,2
"Prince Valiant","1954-01-01",0,0,2
"High School Musical","2006-01-01",0,0,2
"La môme","2007-01-01",3.8,33,3
"My Girl","1991-01-01",3.5,29984,2
"Punisher: War Zone","2008-01-01",3,29393,4
"À bout de souffle","1960-01-01",4.2,10327,2
"Black Moon Rising","1986-01-01",2.8,1020,2
"Robin Hood: Prince of Thieves","1991-01-01",3.4,30722,2
"My Life Without Me","2003-01-01",0,0,2
"The Business","2005-01-01",0,0,2
"Burn After Reading","2008-01-01",3.4,71248,2
"The Wrong Guy","1997-01-01",3.6,826,2
"Faust: Love of the Damned","2000-01-01",0,0,2
"The Hills Have Eyes","2006-01-01",3.1,75042,2
"Steel Magnolias","1989-01-01",3.6,26167,2
"War","2007-01-01",0,0,2
"Man on the Moon","1999-01-01",3.3,15027,2
"King of New York","1990-01-01",3.7,5329,2
"War of the Worlds","2005-01-01",2.9,162092,3
"Chocolat","2000-01-01",3.6,62492,2
"Pride & Prejudice","2005-01-01",3.8,101164,2
"Psycho Beach Party","2000-01-01",3.3,1978,2
"Get Over It","2001-01-01",2.9,9761,2
"Nochnoy dozor","2004-01-01",3.3,19774,2
"Interview with the Vampire: The Vampire Chronicles","1994-01-01",3.7,77706,4
"Eastern Promises","2007-01-01",3.8,66267,2
"Deep Impact","1998-01-01",2.9,28624,2
"Private Parts","1997-01-01",0,0,2
"Godzilla","1998-01-01",2.6,17658,2
"Mystery, Alaska","1999-01-01",3.2,4196,2
"The Rules of Attraction","2002-01-01",3.2,10253,2
"The Cure","1995-01-01",3.7,2207,2
"The Mummy: Tomb of the Dragon Emperor","2008-01-01",3,79989,2
"House on Haunted Hill","1999-01-01",2.9,13288,2
"11'09''01 - September 11","2002-01-01",3.5,303,2
"The Boys of Baraka","2005-01-01",4,627,2
"The Ninth Gate","1999-01-01",3.2,23993,2
"The Hills Have Eyes II","2007-01-01",2.9,63799,2
"The Thomas Crown Affair","1999-01-01",3.3,15699,2
"Nothing to Lose","1997-01-01",3.1,5245,3
"Dr. Mabuse, der Spieler - Ein Bild der Zeit","1922-01-01",4.1,721,2
"Problem Child 2","1991-01-01",0,0,2
"Slumdog Millionaire","2008-01-01",4,328969,2
"Ben-Hur","1959-01-01",3.7,25817,2
"Of Mice and Men","1992-01-01",3.5,6505,2
"Incubo sulla città contaminata","1980-01-01",0,0,2
"The Cannonball Run","1981-01-01",3.1,6545,2
"Grey's Anatomy","2005-01-01",NULL,NULL,2
"Open Season","2006-01-01",3.4,91895,2
"North Country","2005-01-01",3.5,14739,3
"Black Robe","1991-01-01",3.3,1641,2
"One Hundred and One Dalmatians","1961-01-01",3.3,29711,2
"The Desperate Hours","1955-01-01",0,0,2
"Raw Deal","1986-01-01",2.7,3041,2
"Calendar Girls","2003-01-01",3.1,8453,3
"Die Hard","1988-01-01",3.9,99625,2
"Jeder für sich und Gott gegen alle","1974-01-01",0,0,2
"Slaughterhouse-Five","1972-01-01",0,0,3
"Inside Man","2006-01-01",3.7,84980,2
"Galaxy Quest","1999-01-01",3,19804,2
"A Kiss Before Dying","1956-01-01",0,0,2
"Quest for Camelot","1998-01-01",3.1,4042,2
"Body of Lies","2008-01-01",3.5,38376,2
"Unforgiven","1992-01-01",4,27203,2
"Taken","2008-01-01",4,307912,2
"The Mask","1994-01-01",3.2,68419,3
"Léon","1994-01-01",4.1,59011,2
"Short Circuit","1986-01-01",3.2,12589,2
"Cursed","2005-01-01",0,0,2
"No Mercy","1986-01-01",2.8,740,2
"See No Evil, Hear No Evil","1989-01-01",3.3,6015,2
"The Haunting","1999-01-01",2.7,10812,2
"The Usual Suspects","1995-01-01",4.2,109588,2
"28 Days Later...","2002-01-01",3.6,107149,2
"Angus, Thongs and Perfect Snogging","2008-01-01",3.9,6295,2
"Slackers","2002-01-01",2.8,4294,2
"Jane Eyre","2006-01-01",NULL,NULL,3
"Boy A","2007-01-01",3.5,5895,3
"The Three Musketeers","1993-01-01",3.2,13783,3
"Loser","2000-01-01",2.6,5745,2
"Village of the Damned","1995-01-01",2.7,4194,2
"The Road to El Dorado","2000-01-01",3.1,9172,2
"To Be or Not to Be","1942-01-01",4.2,1733,2
"Yours, Mine and Ours","2005-01-01",3.2,36270,2
"Panic Room","2002-01-01",3,19615,2
"Alfie","2004-01-01",2.9,15367,2
"Halloween","2007-01-01",3.3,79946,2
"Running Scared","2006-01-01",3.6,35992,3
"The Butterfly Effect","2004-01-01",3.6,109956,2
"The Postman Always Rings Twice","1981-01-01",3.3,2610,2
"The Front Page","1974-01-01",3.6,905,2
"Get Carter","2000-01-01",2.5,4003,2
"The Adventures of Huck Finn","1993-01-01",2.9,2408,2
"Joe Dirt","2001-01-01",2.8,16165,2
"Man on Fire","2004-01-01",3.9,67139,2
"The Hunchback of Notre Dame","1939-01-01",0,0,3
"Pirates of the Caribbean: The Curse of the Black Pearl","2003-01-01",3.9,297546,2
"La faute à Fidel!","2006-01-01",4.1,2344,2
"Stay Alive","2006-01-01",3.3,40388,2
"The Little Shop of Horrors","1960-01-01",0,0,2
"I Confess","1953-01-01",3.6,2474,2
"The Mummy","1999-01-01",3.4,79634,3
"Indiana Jones and the Kingdom of the Crystal Skull","2008-01-01",3.4,252104,2
"In Cold Blood","1967-01-01",3.8,2614,2
"The Last Kiss","2006-01-01",3.2,37077,2
"Flash Gordon","1980-01-01",3.1,6492,2
"King Kong","2005-01-01",2.8,207337,4
"Star Wars: Episode II - Attack of the Clones","2002-01-01",3.3,108730,2
